ts_utc,open_interest,mark_price,index_price,last_funding_rate,global_long_short_ratio,top_long_short_ratio,taker_buy_sell_ratio,taker_buy_vol,taker_sell_vol
2026-08-22T15:07:16Z,106416.899,77005.28919565,77004.49717391,0.0001,0.9908,1.1128,1.1191,361.432,322.954
2026-08-22T18:13:53Z,106459.447,77250.15963768,77233.23413043,0.0001,1.0052,1.1272,1.1893,274.589,230.878
2026-08-22T18:18:04Z,106477.351,77275.45714493,77264.92956522,0.0001,1.0048,1.1272,0.7274,145.257,199.682
2026-08-22T18:18:51Z,106478.155,77308.4,77294.58108696,0.0001,1.0048,1.1272,0.7274,145.257,199.682
2026-08-22T18:33:03Z,106484.342,77297.96315942,77281.8426087,0.0001,1.006,1.1281,1.3075,153.448,117.356
2026-08-22T18:48:03Z,106457.684,77214.0,77207.93086957,0.0001,1.006,1.1286,0.9067,154.823,170.756
2026-08-22T19:03:04Z,106413.776,77288.2,77278.58652174,0.0001,1.0076,1.1304,0.9102,205.66,225.959
2026-08-22T19:18:03Z,106422.748,77312.9,77306.67804348,0.0001,1.008,1.1304,0.9025,139.402,154.47
2026-08-22T19:33:03Z,106412.741,77347.6,77334.23891304,0.0001,1.0088,1.1317,0.8767,123.254,140.588
2026-08-22T19:48:03Z,106375.647,77451.0,77442.45891304,0.0001,1.0096,1.1327,1.2806,219.25,171.203
2026-08-22T20:03:03Z,106414.885,77379.97882356,77376.15891304,0.0001,1.0096,1.1331,1.0827,311.922,288.087
2026-08-22T20:18:03Z,106419.996,77388.0,77385.0523913,0.0001,1.0096,1.1331,1.1297,204.979,181.451
2026-08-22T20:33:03Z,106420.511,77289.2,77283.07826087,0.0001,1.0092,1.1331,0.4722,139.186,294.787
2026-08-22T20:48:03Z,106329.034,77358.47963043,77350.59782609,0.0001,1.0084,1.1331,0.9621,288.389,299.756
2026-08-22T21:03:03Z,106089.181,77137.8,77135.38847826,0.0001,1.0084,1.1331,0.783,88.208,112.652
2026-08-22T21:18:03Z,105988.354,77189.25498551,77176.11369565,0.0001,1.0072,1.1331,0.7734,487.675,630.594
2026-08-22T21:33:03Z,106020.334,77104.84116281,77102.48043478,0.0001,1.0076,1.1331,1.7915,287.248,160.343
2026-08-22T21:48:03Z,105929.274,76958.03408696,76950.44782609,0.0001,1.006,1.1322,0.8646,440.686,509.72
2026-08-22T22:03:04Z,105960.678,76803.1,76803.33130435,0.0001,1.0036,1.1308,0.6442,369.724,573.916
2026-08-22T22:18:03Z,105967.376,77107.0751087,77100.86934783,0.0001,1.0016,1.1304,1.5417,1054.645,684.059
2026-08-22T22:33:03Z,105991.574,77002.2599058,76999.52586957,0.0001,1.0028,1.1317,1.5417,1054.645,684.059
2026-08-22T22:48:03Z,105817.673,77054.3,77058.20847826,0.0001,1.0056,1.1345,0.8902,207.645,233.255
2026-08-22T23:03:03Z,105846.551,77031.36946919,77030.455,0.0001,1.0056,1.134,0.4523,293.134,648.156
2026-08-22T23:18:03Z,105856.248,77018.13692029,77006.20717391,0.0001,1.0052,1.134,0.6783,224.34,330.735
2026-08-22T23:33:03Z,105831.802,76954.84468116,76950.71086957,0.0001,1.0056,1.1345,0.8031,174.77,217.606
2026-08-22T23:48:03Z,105795.98,77048.4,77041.12282609,0.0001,1.0068,1.1349,1.192,144.409,121.146
2026-08-23T00:03:08Z,105856.373,77146.1,77132.11282609,0.0001,1.0072,1.1358,0.8468,143.218,169.132
2026-08-23T00:18:03Z,105907.445,77092.6,77078.52043478,0.0001,1.0092,1.1377,1.113,182.303,163.794
2026-08-23T00:33:03Z,105881.642,77258.8,77247.63782609,0.0001,1.0113,1.1395,0.7585,160.909,212.132
2026-08-23T00:48:04Z,105847.769,77275.08112319,77267.99152174,0.0001,1.0125,1.1409,1.2099,300.488,248.359
2026-08-23T01:03:03Z,105887.16,77259.3,77254.47826087,0.0001,1.0109,1.1395,1.1091,385.561,347.633
2026-08-23T01:18:04Z,106326.265,77321.16618441,77312.18,0.0001,1.0052,1.1349,1.0905,303.653,278.461
2026-08-23T01:33:03Z,106281.746,77234.23942279,77227.0276087,0.0001,1.0036,1.1336,1.714,655.548,382.475
2026-08-23T01:48:03Z,106250.385,77285.45798551,77279.24543478,0.0001,1.002,1.0747,0.433,191.574,442.405
2026-08-23T02:03:03Z,106283.941,77181.27069855,77175.53130435,0.0001,1.0016,1.0756,1.0116,292.735,289.373
2026-08-23T02:18:03Z,106258.37,77127.2,77115.92956522,0.0001,1.0,1.0756,0.7353,191.617,260.605
2026-08-23T02:33:04Z,106306.039,77206.5,77193.34282609,0.0001,0.9988,1.0743,0.6922,305.703,441.613
2026-08-23T02:48:03Z,106299.173,77202.5,77189.59695652,0.0001,1.0016,1.0768,1.0413,294.273,282.606
2026-08-23T03:03:03Z,106273.273,77097.39391859,77092.62434783,0.0001,1.002,1.0768,0.6853,174.488,254.6
2026-08-23T03:18:03Z,106296.725,77124.9,77112.17326087,0.0001,1.0012,1.076,0.9334,227.48,243.71
2026-08-23T03:33:03Z,106291.421,76968.8,76959.90695652,0.0001,0.9992,1.0738,0.9885,314.967,318.619
2026-08-23T03:48:03Z,106305.379,76940.43493087,76936.39630435,0.0001,0.9988,1.0747,0.653,506.49,775.682
2026-08-23T04:03:03Z,106406.54,76905.56047101,76899.58673913,0.0001,1.0028,1.0786,2.0645,657.812,318.623
2026-08-23T04:18:03Z,106651.008,76942.10798351,76945.71391304,0.0001,1.008,1.0846,0.8247,1153.324,1398.485
2026-08-23T04:33:04Z,106620.628,76898.94080723,76895.62521739,0.0001,1.0109,1.0877,1.1762,443.662,377.198
2026-08-23T04:48:03Z,106590.298,76713.15736957,76716.5526087,0.0001,1.0105,1.0872,0.8071,280.856,348.001
2026-08-23T05:03:03Z,106716.786,76513.1,76519.64021739,0.0001,0.9968,1.0794,0.6694,1798.214,2686.324
2026-08-23T05:18:04Z,106924.144,75738.52345652,75747.00086957,0.0001,0.9566,1.0559,0.6694,1798.214,2686.324
2026-08-23T05:33:03Z,107176.814,76300.0,76296.48521739,0.0001,0.9712,1.0816,0.8242,4906.167,5952.474
2026-08-23T05:48:03Z,107058.71,76149.8,76143.59130435,0.0001,0.9677,1.0786,0.7895,1066.69,1351.171
2026-08-23T06:03:03Z,107100.994,76103.85764493,76087.17173913,0.0001,0.965,1.0786,0.9573,553.262,577.947
2026-08-23T06:18:03Z,107004.58,76197.86678986,76180.61565217,0.0001,0.9677,1.0842,0.8013,1133.497,1414.569
2026-08-23T06:33:03Z,107225.748,76338.3,76329.38608696,0.0001,0.9767,1.0907,1.778,1112.306,625.606
2026-08-23T06:48:03Z,107333.779,76256.82596702,76253.88782609,0.0001,0.9833,1.0964,1.8754,852.285,454.463
2026-08-23T07:03:03Z,107124.34,76071.0,76061.8173913,0.0001,0.9802,1.0942,0.5787,357.816,618.305
2026-08-23T07:18:04Z,107171.363,76340.71576812,76325.04304348,0.0001,0.9845,1.0986,1.1687,532.464,455.589
2026-08-23T07:33:03Z,107277.524,76194.34397839,76193.91565217,0.0001,0.9857,1.0991,0.7837,314.418,401.177
